GesID	Ebene
2430	Shadow-exposed slope
2431	Sun-exposed slope
2432	Sun-exposed slope
2433	Sun-exposed slope
2433	Plain
2434	Plain
2435	Sun-exposed slope
2436	Shadow-exposed slope
2437	Shadow-exposed slope
2438	Shadow-exposed slope
2438	Sun-exposed slope
2438	Plain
2439	Sun-exposed slope
2440	Sun-exposed slope
2441	Shadow-exposed slope
2441	Plain
2442	Shadow-exposed slope
2444	Shadow-exposed slope
2445	Sun-exposed slope
2446	Sun-exposed slope
2461	Plain
2462	Plain
2462	Sun-exposed slope
2464	Shadow-exposed slope
2465	Sun-exposed slope
2470	Plain
2471	Shadow-exposed slope
2474	Plain
2475	Sun-exposed slope
2477	Shadow-exposed slope
2478	Sun-exposed slope
2478	Plain
2478	Shadow-exposed slope
2501	Shadow-exposed slope
2501	Sun-exposed slope
2501	Plain
2502	Plain
2510	Sun-exposed slope
2510	Plain
2511	Sun-exposed slope
2511	Plain
2511	Shadow-exposed slope
2512	Sun-exposed slope
2512	Plain
2513	Shadow-exposed slope
2513	Sun-exposed slope
2513	Plain
2514	Shadow-exposed slope
2514	Sun-exposed slope
2514	Plain
2515	Sun-exposed slope
2516	Sun-exposed slope
2516	Plain
2517	Plain
2517	Shadow-exposed slope
2518	Sun-exposed slope
2518	Plain
2519	Shadow-exposed slope
2519	Plain
2520	Shadow-exposed slope
2521	Sun-exposed slope
2522	Sun-exposed slope
2522	Plain
2523	Shadow-exposed slope
2523	Sun-exposed slope
2523	Plain
2524	Shadow-exposed slope
2524	Plain
2525	Shadow-exposed slope
2525	Plain
2526	Shadow-exposed slope
2526	Plain
2527	Plain
2527	Shadow-exposed slope
2528	Plain
2528	Shadow-exposed slope
2529	Shadow-exposed slope
2529	Plain
2530	Plain
2530	Shadow-exposed slope
2531	Plain
2531	Shadow-exposed slope
2532	Shadow-exposed slope
2532	Sun-exposed slope
2532	Plain
2533	Sun-exposed slope
2533	Shadow-exposed slope
2533	Plain
2534	Plain
2534	Sun-exposed slope
2534	Shadow-exposed slope
2535	Sun-exposed slope
2535	Shadow-exposed slope
2535	Plain
2536	Sun-exposed slope
2536	Plain
2536	Shadow-exposed slope
2537	Sun-exposed slope
2537	Shadow-exposed slope
2537	Plain
2538	Shadow-exposed slope
2539	Shadow-exposed slope
2540	Shadow-exposed slope
2541	Shadow-exposed slope
2542	Sun-exposed slope
2543	Sun-exposed slope
2544	Sun-exposed slope
2544	Shadow-exposed slope
2544	Plain
2545	Shadow-exposed slope
2545	Plain
2545	Sun-exposed slope
2546	Plain
2546	Sun-exposed slope
2546	Shadow-exposed slope
2547	Shadow-exposed slope
2547	Sun-exposed slope
2547	Plain
2548	Sun-exposed slope
2548	Shadow-exposed slope
2548	Plain
2549	Sun-exposed slope
2550	Sun-exposed slope
2551	Sun-exposed slope
2552	Shadow-exposed slope
2553	Shadow-exposed slope
2553	Plain
2553	Sun-exposed slope
2554	Shadow-exposed slope
2555	Plain
2556	Sun-exposed slope
2557	Sun-exposed slope
2558	Shadow-exposed slope
2558	Sun-exposed slope
2558	Plain
2559	Sun-exposed slope
2560	Sun-exposed slope
2561	Sun-exposed slope
2562	Sun-exposed slope
2562	Shadow-exposed slope
2562	Plain
2563	Shadow-exposed slope
2563	Plain
2563	Sun-exposed slope
2564	Plain
2564	Sun-exposed slope
2564	Shadow-exposed slope
2565	Shadow-exposed slope
2565	Sun-exposed slope
2565	Plain
2566	Shadow-exposed slope
2567	Shadow-exposed slope
2567	Sun-exposed slope
2567	Plain
2568	Sun-exposed slope
2568	Plain
2568	Shadow-exposed slope
2569	Shadow-exposed slope
2569	Sun-exposed slope
2569	Plain
2570	Plain
2570	Shadow-exposed slope
2570	Sun-exposed slope
2571	Sun-exposed slope
2571	Shadow-exposed slope
2571	Plain
2572	Sun-exposed slope
2572	Shadow-exposed slope
2572	Plain
2573	Sun-exposed slope
2573	Plain
2573	Shadow-exposed slope
2574	Plain
2574	Sun-exposed slope
2574	Shadow-exposed slope
2575	Shadow-exposed slope
2576	Shadow-exposed slope
2577	Sun-exposed slope
2578	Sun-exposed slope
2578	Plain
2578	Shadow-exposed slope
2579	Shadow-exposed slope
2579	Plain
2579	Sun-exposed slope
2580	Shadow-exposed slope
2580	Plain
2580	Sun-exposed slope
2581	Sun-exposed slope
2581	Plain
2581	Shadow-exposed slope
2582	Sun-exposed slope
2583	Sun-exposed slope
2584	Plain
2585	Plain
2586	Plain
2587	Plain
2588	Plain
2591	Plain
2591	Sun-exposed slope
2591	Shadow-exposed slope
2592	Plain
2593	Plain
2594	Plain
2595	Plain
2596	Sun-exposed slope
2596	Plain
2596	Shadow-exposed slope
2597	Plain
2597	Shadow-exposed slope
2597	Sun-exposed slope
2598	Sun-exposed slope
2598	Plain
2598	Shadow-exposed slope
2599	Sun-exposed slope
