# Community_BERN5_ID	Plant_BERN5_ID	Plant_is_constant	Charakterart	Community_Name	Plant_Name	is dominant
2406	5066	0	0	Ulmo glabrae-Aceretum pseudoplatani typicum TRAUTMANN 1952	Tayloria rudolphiana	
2407	107	1	0	Alnetum incanae LÜDI 1921	Carex sylvatica	
2407	108	1	0	Alnetum incanae LÜDI 1921	Brachypodium sylvaticum	
2407	120	1	1	Alnetum incanae LÜDI 1921	Fraxinus excelsior	dominant
2407	163	1	0	Alnetum incanae LÜDI 1921	Rubus idaeus	dominant
2407	199	1	0	Alnetum incanae LÜDI 1921	Sambucus nigra	subdominant
2407	211	1	0	Alnetum incanae LÜDI 1921	Cornus sanguinea	subdominant
2407	213	1	0	Alnetum incanae LÜDI 1921	Stachys sylvatica	dominant
2407	245	1	0	Alnetum incanae LÜDI 1921	Acer pseudoplatanus	subdominant
2407	463	1	0	Alnetum incanae LÜDI 1921	Lonicera xylosteum	subdominant
2407	534	0	0	Alnetum incanae LÜDI 1921	Rubus caesius	
2407	892	1	0	Alnetum incanae LÜDI 1921	Knautia dipsacifolia dipsacifolia	subdominant
2407	909	1	0	Alnetum incanae LÜDI 1921	Alnus incana	dominant
2407	910	1	0	Alnetum incanae LÜDI 1921	Eurhynchium swartzii	subdominant
2407	3002	1	0	Alnetum incanae LÜDI 1921	Aegopodium podagraria	dominant
2407	3083	1	0	Alnetum incanae LÜDI 1921	Deschampsia cespitosa	dominant
2407	3126	1	0	Alnetum incanae LÜDI 1921	Impatiens noli-tangere	dominant
2407	3190	1	0	Alnetum incanae LÜDI 1921	Phalaris arundinacea	
2407	3292	1	0	Alnetum incanae LÜDI 1921	Urtica dioica	subdominant
2407	5011	0	0	Alnetum incanae LÜDI 1921	Galanthus nivalis	
2407	5063	0	0	Alnetum incanae LÜDI 1921	Dichelyma capillaceum	
2408	528	0	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Hieracium sylvaticum	
2408	707	0	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Dracocephalum ruyschiana	
2408	891	1	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Sesleria albicans albicans	
2408	924	0	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Polygala chamaebuxus	
2408	954	1	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Rhododendron hirsutum	dominant
2408	960	1	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Pinus mugo mugo	dominant
2408	3027	1	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Calamagrostis varia	dominant
2408	3104	1	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Erica carnea	dominant
2408	3312	0	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Vaccinium myrtillus	
2408	3314	0	0	Erico carnae-Pinetum prostratae ZÖTTL 1951	Vaccinium vitis-idaea	dominant
2409	159	1	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Pleurozium schreberi	subdominant
2409	3311	1	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Betula pubescens	dominant
2409	3312	0	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Vaccinium myrtillus	
2409	3314	0	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Vaccinium vitis-idaea	
2409	3316	1	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Sphagnum capillifolium	subdominant
2409	3319	1	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Vaccinium uliginosum	dominant
2409	3330	0	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Lycopodium annotinum	subdominant
2409	3331	0	1	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Picea abies	dominant
2409	5028	1	0	Vaccinio uliginosi-Betuletum pubescentis LIBBERT 1933	Sphagnum fuscum	subdominant
