# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
31	Potamogetonetum alpini PODBIELKOWSKI 1967	Potametum tenuifolii Kiprijanova et Lascinskij 2000	(semi-)aquatic community	unusable	C1.4	3150pp, 3260v	Oberdorfer 1998 Vol I Table 19/6a-b  (also: Chytry et al. 2011 tab. 4/9 p. 147+165; Schubert 2001 p. 267)	49
32	Potamogetonetum nitentis W. KOCH 1926		(semi-)aquatic community	unusable	C1.3	3150	Passarge 1964 Table10c-d (also Oberdorfer 1998 Vol I Table 19/7a-c)	36
33	Potamogetonetum graminei W. KOCH 1926	Potamogeton gramineus-Gesellschaft	(semi-)aquatic community	unusable	C1.4	3150pp	Passarge 1964 Table10e-g (also: Hilbig 1971c Tab. 3/5 + p. 17; Lienenbecker 1971 Tab. 18b + p. 110; Pott 1980 Tab. 6 p. 36; Chytry et al. 2011 tab. 4/2 p.147+138; Schubert 2001 p. 268; Donita et al. 2005 p. 70)	238
34	Potamogetonetum filiformis W. KOCH 1928		(semi-)aquatic community	unusable	C1.1	3150pp	Passarge 1996, tab. 25i p. 142 (also: Oberdorfer 1998 Vol I Table 19/6a-b)	25
35	Potamogetonetum mucronati SAUER 1937	Potamogeton friesii-Ass.	(semi-)aquatic community	unusable	C1.3	3150	Chytry et al. 2011 tab. 4/23 p. 147+208 (also Schubert 2001 p. 268)	2
36	Potamogetonetum trichoides FREITAG, SCHWIL et MARKUS  1958		(semi-)aquatic community	unusable	C1.2	3150pp	Passarge 1996 Tab. 20k p. 57 (also: Hilbig 1971c Tab. 3/4 + p. 17; Tüxen 1974 Tab. 2 + p. 44; Schubert 2001 p. 268; Pujol et al. 2023 p. 93; Chytry et al. 2011 tab. 4/15 p.147+184)	78
37	Potamogetonetum acutifolii PODBIELKOWSKI 1967	Potamogeton acutifolius-Ass.	(semi-)aquatic community	unusable	C1.3	3150pp	Passarge 1996 Tab. 20f p. 57 (also: ; Schubert 2001 p. 269; Chytry et al. 2011 tab. 4/22 p. 147+205)	29
38	Potamogetonetum obtusifolii SAUER 1937	Potamogeton obtusifolius-Ass.	(semi-)aquatic community	unusable	C1.4	3150pp	Carstensen 1955 Tab. 4 (also: ; Schubert 2001 p. 270; Pujol et al. 2023 p. 93; Chytry et al. 2011 tab. 4/19 p. 147+196)	52
39	Potamogetonetum pectinati CARSTENSEN 1955	Potamogeton pectinatus-Ass.	(semi-)aquatic community	unusable	C1.3	1110v, 3150pp	Carstensen 1955 Tab. 3 (also: Hilbig 1971c Tab. 3/6 + p. 21; Reichhoff et Schnelle 1977 Tab. II/1 rel. 1,2 + p. 430; Pott 1980 Tab. 16/67-94 + p. 80; Oberdorfer 1998 Vol I Table 19/12a-b; Schubert 2001 p. 270; Chytry et al. 2011 tab. 4/20 p. 147+199; Fari	280
40	Zannichellietum palustris BAUMANN 1911	Potamogetono-Zannichellietum palustris W. Koch 1926	(semi-)aquatic community	unusable	C1.3	*1150v, 1160v, 3150pp	Lang 1967, tab. 16 p. 554 (also Hilbig 1971c Tab. 3/8 + p. 21; Pott 1980 Tab. 9/6-17 + p. 45; Oberdorfer 1998 Vol I Table 19/10; Schubert 2001 p. 271; Pujol et al. 2023 p. 94; Chytry et al. 2011 tab. 4/14 p. 147+180; Donita et al. 2005 p. 77; Fariselli et	107
41	Potamogetonetum natantis SOÓ 1927	Polygono-Potametum natantis Soó 1964	(semi-)aquatic community	unusable	C1.3	3150	Chytry et al. 2011 tab. 4/1 p. 147+135 (also Soó 1964b p. 135; Beudin et al. 2021 Tab. IV p. 19; Donita et al. 2005 p. 71; Fariselli et al. 2024 Tab. 03.9)	720
42	Najadetum minoris UBRICZY 1948		(semi-)aquatic community	unusable	C1.3	3150v	Ubrizsy 1961 p. 192 (also: ; Schubert 2001 p. 271; Soó 1964b p. 137; Pujol et al. 2023 p. 95; Chytry et al. 2011 tab. 4/17 p. 147+190; Fariselli et al. 2024 Tab. 03.12A-B)	46
43	Najadetum marinae FUKAREK 1961		(semi-)aquatic community	unusable	C1.2	*1150v, 1160v, 3150pp	Fukarek 1961 tab. 27 p. 162 (also: Passarge 1964 Table10a-b (also: Weisser 1970 Tab. 15/1-7 + p. 59; Reichhoff et Schnelle 1977 Tab. II/4 rel.16 + p. 431; Pujol et al. 2023 p. 94; Chytry et al. 2011 tab. 4/16 p. 147+186)	36
44	Najadetum intermediae W. KOCH 1926	Najadetum intermediae Lang 1973	(semi-)aquatic community	unusable	C1.1	3150pp	Oberdorfer 1998 Vol I Table 19/8a-b	22
45	Elodeetum canadensis PIGNAttI 1953		(semi-)aquatic community	unusable	C1.3	3150pp	Pignatti 1953 p. 65ff (also: Passarge 1964 Table5e-f; Soó 1964b p. 133; Hilbig 1971c Tab. 3/9 + p. 21; Chytry et al. 2011 tab. 4/6 p. 147+155; Schubert 2001 p. 272; Donita et al. 2005 p. 71)	238
46	Ranunculo circinati-Myriophylletum spicati TOMASZEWICZ 1969	Ranunculo circinati-Myriophylletum spicati (Com. 1969) Passarge 1982; Ranunculetum circinati SAUER 1937	(semi-)aquatic community	unusable	C1.3	3150v	Sauer 1937 Tab. 5-1, 5-2, 5-5, 6-I, 6-II (also: Passarge 1982 Tab. 3 p. 19, 1996 Tab. 26b p. 74; Schubert 2001 p. 273; Chytry et al. 2011 tab. 5/6 p. 222+233; Fariselli et al. 2024 Tab. 03.4A-E)	117
47	Potamogetono pectinati-Myriophylletum spicati RIVAS GODAY 1964		(semi-)aquatic community	unusable	C1.3	3150	Chytry et al. 2011 tab. 4/7 p. 147+159 (also: Minissale et al. 2007 table 25; Vukotic et al. 2022 App.6 p. 81	101
48	Ranunculetum baudotii BRAUN-BLANQUET et al. 1952	Ranunculetum baudotii Hocquette 1927	(semi-)aquatic community	unusable	MB546	*1150v, 1160v, 3150pp	Braun-Blanquet et al. 1952 p. 79 (also: Passarge 1996 tab. 15h, p. 40; Chytry et al. 2011 tab. 5/8 p. 222+238; Westhoff 1969 p. 57 and Schaminée et al. 2010 p. 96; Beudin et al. 2021 Tab. IV p. 19; Donita et al. 2005 p. 71)	286
