# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
2707	Quercetum trojanae EM 1958 HORVÁT 1959		natural forest	single stem cutting	T1981	9250	Horvat, Glavac, Ellenberg (1974) Table 29/2	9
2708	Querco pubescentis-Ostryetum carpinifoliae HORVÁT 1938		natural forest	single stem cutting	T19B141	91H0*	Horvat, Glavac, Ellenberg (1974) Table 29/11 (also Stupar 2014 tab. 3/3 p. 104)	27
2709	Seslerio autumnalis-Ostryetum carpinifoliae HORVÁT et HORVATIC 1950		natural forest	single stem cutting	T193751	91H0*	Horvat, Glavac, Ellenberg (1974) Table 29/9 (also Stupar 2014 tab. 3/1 p. 101; Poldini 1982 Tab. 3 + p. 76)	83
2710	Myrto communi-Pinetum halepensis KRAUSE, LUDWIG, SEIDEL 1963		natural forest	single stem cutting	T3A48	9540	Horvat, Glavac, Ellenberg (1974) Table 4	39
2711	Pulsatillo macedonicae-Pinetum nigrae EM 1960		natural forest	single stem cutting	T3671A	9530*	Horvat, Glavac, Ellenberg (1974) Table 30  (also: Em Tab. at p. 140)	24
2712	Dracunculus vulgaris-Platanus orientalis-Ass. KRAUSE, LUDWIG et SEIDEL 1963		natural forest	single stem cutting	T1491	92C0	Horvat, Glavac, Ellenberg (1974) Table 5	3
2713	Juglando-Platanetum orientalis EM et DEKOV 1961		natural forest	single stem cutting	T1491	92C0	Horvat, Glavac, Ellenberg (1974) Table 31 (also: Fotiadi 2004 tab. 8 p.35)	33
2714	Populetum albae BRAUN-BLANQUET ex TCHOU 1949		natural forest	single stem cutting	T14252	92A0	Horvat, Glavac, Ellenberg 1974 p. 174 (also Knapp 1944b Vol. 6 Tab. 10-12; Jelem 1975 Annax-Tab. rel. 37-39; Douda et al. 2015 Tab. C-20)	147
2715	Carpinetum orientalis adriaticum WRABER 1969	Carpinetum orientalis croaticum	natural forest	single stem cutting	S35721	91M0	Horvat, Glavac, Ellenberg (1974) Table 29/6-8 (also Stupar 2014 tab. 2/1 p. 94)	54
2716	Junco-Fraxinetum parvifoliae KÁPÁTI 1962		natural forest	single stem cutting	T131324	91F0	Horvat, Glavac, Ellenberg (1974) Table 40/1  (also: Karpati 1962 tab. III; Douda et al. 2015 Tab. C-23)	25
2717	Lauro-Fraxinetum angustifoliae KÁPÁTI 1962	Lauro nobilis-Fraxinetum oxycarpae I. & V. Kárpáti 1961; Lauro-Fraxinetum parvifoliae KÁPÁTI 1962	natural forest	single stem cutting	T131324	91F0	Horvat, Glavac, Ellenberg (1974) Table 40/2 (also: Karpati 1962 tab. V)	10
2718	Nerio-Platanetum orientalis KÁPÁTI 1962		natural forest	single stem cutting	T1491	92C0	Horvat, Glavac, Ellenberg (1974) Table 40/10 (also Douda et al. 2015 Tab. D-25; Karpati 1962 tab. X)	118
2719	Petasiti-Platanetum orientalis KÁPÁTI 1962		natural forest	single stem cutting	T1491	92C0	Horvat, Glavac, Ellenberg (1974) Table 40/9  (also Douda et al. 2016 Tab. 24; Douda et al. 2015 Tab. D-24; Karpati 1962 tab. IX)	45
2720	Platanetum orientalis balcanicum KÁPÁTI 1962		natural forest	single stem cutting	T1491	92C0	Horvat, Glavac, Ellenberg (1974) Table 40/8 (also: Karpati 1962 tab. VIII)	20
2721	Abietetum cephalonicae KNAPP 1965		natural forest	single stem cutting	T3331	9270?	Horvat, Glavac, Ellenberg (1974) Table 125/1-2 (also Regel 1932 p. 2)	4
2722	Castaneo-Quercetum mediterraneum WRABER 1954		natural forest	single stem cutting	T19C3	9260	Horvat, Glavac, Ellenberg (1974) Table 39/1	8
2723	Seslerio autumnalis-Fagetum moesiacae (HORVÁT 1950) WRABER 1957	Fagetum llyricum montanum Horvat 1938	natural forest	single stem cutting	T177311	91K0	Horvat, Glavac, Ellenberg (1974) Table102/2,	5
2724	Fagetum moesiacae hellenicum DAFIS 1968		natural forest	single stem cutting	T178	91W0	Horvat, Glavac, Ellenberg (1974) Table 126/2	56
2725	Carpinetum orientalis serbicum RUDSKI 1949 em. JOVANOVIC 1955		natural forest	single stem cutting	T193721	91M0	Knapp 1944c Tab. 5 p. 18 (also: Horvat, Glavac, Ellenberg (1974) Table 29/1	14
2726	Genisto lydiae-Quercetum pubescentis JAKUCS et ZÓLYOMI 1960		natural forest	single stem cutting	T193722	91G0*	Horvat, Glavac, Ellenberg (1974) Table 49/1	3
2727	Syringo-Carpinetum orientalis JAKUCS 1959		natural forest	single stem cutting	T19B223	91M0	Horvat, Glavac, Ellenberg (1974) Table 49/4	8
2728	Oryzopsi holciformi-Carpinetum orientalis JAKUCS et ZÓLYOMI 1960		natural forest	single stem cutting	T19B224	91M0	Horvat, Glavac, Ellenberg (1974) Table 49/3 (also Walentowski et al. 2015 p. 38,40,45)	12
2729	Asperulo taurinae-Carpinetum betuli (RUDSKI 1949) BORHIDI 1962	Querco-Carpinetum serbicum Rudski 1949	natural forest	single stem cutting	T1F6	9180*	Horvat, Glavac, Ellenberg (1974) Table 50/1-8 (also Soó (1964a) Table II/4b; Stajić et al. 2021)	106
2730	Castanetum sativae macedonicum NIKOLOVSKI 1951		natural forest	single stem cutting	T19C1	9260	Horvat, Glavac, Ellenberg (1974) Table 51/2-7	43
2731	Querco (pubescentis)-Tilietum tomentosum STJEPANOVIC-VESELICIC 1953		natural forest	single stem cutting	T19B413	91H0*	Horvat, Glavac, Ellenberg (1974) Table 57/1-2	26
2732	Epimedio-Carpinetum betuli (HORVÁT 1938) BORHIDI 1963		natural forest	single stem cutting	T1E1A12	91L0	Horvat, Glavac, Ellenberg (1974) Table 85/1 (also Soó (1964a) Table II/1; Willner et Grabherr (2007) Vol 1 p. 144 et Table 20/20)	85
2733	Staphyleo-Carpinetum betuli HORVÁT 1938		natural forest	single stem cutting	T1E1C13	91L0	Horvat, Glavac, Ellenberg (1974) Table 85/4 (also: Knapp 1944b Vol. 5 Tab. 9)	22
2734	Rusco aculeati-Carpinetum betuli HORVÁT 1938		natural forest	single stem cutting	T1E1C3	91L0	Horvat, Glavac, Ellenberg (1974) Table 85/2	17
2735	Leucojo-Fraxinetum parvifoliae GLAVAC 1959		natural forest	single stem cutting	T131311	91G0*	Horvat, Glavac, Ellenberg (1974) Table 87/1-2 (also Douda 2015 Tab. E-30)	40
2736	Lathyro nigrae-Quercetum petraeae HORVÁT 1958		natural forest	single stem cutting	T19641	91I0*	Horvat, Glavac, Ellenberg (1974) Table 29/12 (also Ellenberg et Klötzli 1972 p.702  with Keller et al. 1998; Stupar 2014 tab. 5/1 p. 108)	55
2737	Fraxino angustifoliae-Carpinetum betuli SOÓ et BORHIDI 1962		natural forest	single stem cutting	T1E1B1	91L0	Horvat, Glavac, Ellenberg (1974) Table 41 (also Soó (1964a) Table II/2; Jelem 1975 Annex-Tab. rel. 72-83)	59
2738	Helleboro dumetorum-Carpinetum betuli SOÓ et BORHIDI 1962		natural forest	single stem cutting	T1E1A12	91G0*	Soó (1964a) Table II/3	100
2739	Tilio argentae-Fraxinetum excelsi (HORVÁT 1961) SOÓ et BORHIDI 1962		natural forest	single stem cutting	T1F6	9180*	Soó (1964a) Table II/5; Soó 1964b p. 253+261	18
2740	Haquetio-Fagetum sylvatici KOSIR 1962		natural forest	single stem cutting	T17A11	91K0	Soó (1964a) Table II/6 (also Willner et Grabherr (2007) Table 21a/7)	52
2741	Vicio oroboidi-Fagetum moesiacae (HORVÁT 1938) PÓCS et BORHIDI 1960	Fagetum croaticum boreale Horvat 1938	natural forest	single stem cutting	T17A11	91K0	Soó (1964a) Table II/7b (also Horvat, Glavac, Ellenberg (1974) Table 100/6-7)	43
2742	Lamio orvalae-(Abieto-)Fagetum sylvatici SOÓ et BORHIDI 1960		natural forest	single stem cutting	T17A123	91K0	Soó (1964a) Table II/10a-b	33
2743	Scutellario-Aceretum pseudoplatani SOÓ et BORHIDI 1962		natural forest	single stem cutting	T1F6	9180*	Soó (1964a) Table II/15; Soó 1964b  p. 261	5
2744	Calamintho grandiflorae-Abieti-Fagetum sylvatici (HORVÁT 1938) BORHIDI 1963	Fagetum montenegrinum abietosum Blecic 1958; Fagetum croaticum australe abietosum Horvat 1938	natural forest	single stem cutting	T17A123	91K0	Soó (1964a) Table II/16a-c (also Horvat, Glavac, Ellenberg (1974) Table 100/13-17)	111
2745	Homogyno alpinae-Fagetum sylvatici (HORVÁT 1938) BORHIDI 1963		natural forest	single stem cutting	T17A11	91K0	Soó (1964a) Table II/18 (also Horvat, Glavac, Ellenberg (1974) Table 118/1-4)	56
2746	Seslerio-Pinetum nigrae WAGNER 1941		natural forest	single stem cutting	T366	9530*	Horvat, Glavac, Ellenberg (1974) Table 107/2-6 (also Em 1978 tab. at p. 140 B; Willner et Grabherr (2007) Vol 1 p. 174 et Table 28/3; Mucina et al. (1993) Teil III, S. 256)	260
2747	Erico carnae-Ostryetum HORVÁT 1951		natural forest	single stem cutting	T19B142		Horvat, Glavac, Ellenberg (1974) Table 107/12 (also Willner et Grabherr (2007) Table 13/2)	145
2748	Helleboro odoro-Fagetum moesiacum (RUDSKI 1949) SOÓ et BORHIDI 1960	Asperulo-Fagetum moesiacum Horvat, Glavac, Ellenberg 1974; Fagetum montanum serbicum Rudski 1949	natural forest	single stem cutting	T17A222	91K0	Soó (1964a) Table II/8a-b (also Horvat, Glavac, Ellenberg (1974) Table 117/1-7; Stajić et al. 2021; Donita et al. 2005 p. 190)	236
2749	Blechno-Fagetum moesiacum HORVÁT 1950	Fago-Muscetum Javonovic 1955; Fagus moesiaca-Vaccinium myrtillus-Ass. Jovan. 1948	natural forest	single stem cutting	T1861	91W0	Horvat, Glavac, Ellenberg (1974) Table 101/2,4,8-9	30
2750	Doronico columnae-(Abieti-)Fagetum moesiacum JOVANOVIC 1959		natural forest	single stem cutting	T177312	91K0	Soó (1964a) Table II/17 (also Horvat, Glavac, Ellenberg (1974) Table 117/8-12; Dzwonko et al. 1999 Tab. 3/1-39 (also: Rizovski et Dzekov 1990 Tab. 14/2-4,9,10,12; Em 1961 Tab. 1)	200
2751	Hyperico umbellato-(Piceo-)Fagetum moesiacum (JOVANOVIC 1955) BORHIDI 1963		natural forest	single stem cutting	T18633	91K0	Soó (1964a) Table II/20 (also Horvat, Glavac, Ellenberg (1974) Table 118/6)	12
2752	Lauroceraso-Fagetum moesiacum HORVÁT 1950		natural forest	single stem cutting	T18632	91V0	Horvat, Glavac, Ellenberg (1974) Table 101/10 (also Soó (1964a) Table IV/9)	16
2753	Carici humilis-Pinetum nigrae JOVANOVIC 1955	included in Sanguisorba minor-Pinus sylvestris-Ass.	natural forest	single stem cutting	T36614	9530*	Horvat, Glavac, Ellenberg (1974) Table 120 (also: Tzonev et al. 2018 p. 135)	2
2754	Rhododendro pontici-Fagetum orientalis STEFANOV 1924		natural forest	single stem cutting	T17C122	91W0	Horvat, Glavac, Ellenberg (1974) p. 536, Table 124	2
2755	Staehelino-Pinetum pallasianea GREBENSCIKOV 1956		natural forest	single stem cutting	T36715	9530*	Horvat, Glavac, Ellenberg (1974) Table 127	3
2756	Vaccinio myrtilli-Pinetum peucis EM 1960		natural forest	single stem cutting	T3922	95A0	Horvat, Glavac, Ellenberg (1974) Table 129/1, 3	22
2757	Pteridio-Pinetum peucis EM 1960		natural forest	single stem cutting	T3921	95A0	Horvat, Glavac, Ellenberg (1974) Table 129/4	9
2758	Polygalo-Pinetum heldreichii BLECIC 1959		natural forest	single stem cutting	T3915	95A0	Horvat, Glavac, Ellenberg (1974) Table 129/6	20
2759	Fago-Pinetum heldreichii JANKOVIC 1958		natural forest	single stem cutting	T3915	95A0	Horvat, Glavac, Ellenberg (1974) Table 129/7	5
2760	Verbasco nicolai-Pinetum heldreichii JANKOVIC 1958		natural forest	single stem cutting	T3915	95A0	Horvat, Glavac, Ellenberg (1974) Table 129/8	7
2761	Junipero-Pinetum heldreichii BLECIC et TATIC 1960		natural forest	single stem cutting	T3915	95A0	Horvat, Glavac, Ellenberg (1974) Table 129/9	12
2762	Arctostaphylo-Piceetum MISIC et POPOVIC 1960		natural forest	single stem cutting	T31554	9410	Horvat, Glavac, Ellenberg (1974) Table 130/4+5	11
2763	Erico-Abieti-Piceetum MISIC et POPOVIC 1960		natural forest	single stem cutting	T328	9410	Horvat, Glavac, Ellenberg (1974) Table 130/3	5
2764	Vaccinio myrtilli-Pinetum mugo HADAC 1956		natural woody shrubland	unusable	S267	9430	Chytry et al. 2013 tab. 4/14 p. 151+159 (also Willner et Grabherr 2007 tab. 44/8)	30
2765	Pinetum mugi illyricum HORVÁT 1938		natural forest	single stem cutting	S267	9540	Horvat, Glavac, Ellenberg (1974) Table 131/1-4	56
2766	Fago-Aceretum stevenii BORHIDI 1962		natural forest	single stem cutting	T177332		Onyshchenko 2009 Tab. 65	5
2767	Phyllitido-Aceretum MOOR 1952		natural forest	single stem cutting	T1F641	9140	Ellenberg et Klötzli 1972 p. 664 with Keller et al. 1998 p. 170 (also: Soó 1964b p. 253; Onyshchenko 2009 Tab. 67; Schmider et Burnand 1988 p. 96)	45
2768	Piceo-Alnetum (incanae) MRÁZ 1959		natural forest	single stem cutting	T1233	91E0	Onyshchenko 2009 Tab. 71 (also Chytry et al. 2013 tab. 5/7 p. 183+200)	41
2769	Ficario-Ulmetum minoris KNAPP 1942 em. J. MATUSZKIEWICZ 1976		natural forest	single stem cutting	T12121	91F0	Knapp 1944b Vol. 6 Tab. 13-18 (also Knapp 1944d Tab. 5+6; Hübl 1959 Tab. p. 161 rel. 5-15; Onyshchenko 2009 Tab. 72/17-23; Chytry et al. 2013 tab. 5/11 p.183+213)	152
2770	Fraxino (excelsis)-Alnetum W. MATUSZKIEWICZ 1952		natural forest	single stem cutting	T1312	91E0	Onyshchenko 2009 Tab. 73	9
2771	Fraxino pannonicae-Ulmetum SOÓ 1960	Fraxino danubialis-Ulmetum Sanda et Popescu 1999	natural forest	single stem cutting	T12133	91F0	Onyshchenko 2009 Tab. 75 (also Soó 1964b p. 244; Jelem 1975 Annax-Tab. rel. 40-71; Chytry et al. 2013 tab. 5/12 p.183+216; Coldea et Ursu 2016 Tab. S1/4a +p. 15)	113
2772	Rusco aculeati-Carpinetum orientalis BLECIC et LAKUSIC 1967 		natural forest	single stem cutting	S35721	91M0	Blecic et Lakusic 1967 rel. 32 (also Stupar et al. 2015 tab. 2/2 Text p. 95)	21
2773	Carici hallerianae-Quercetum pubescentis STUPAR et al. 2015		natural forest	single stem cutting	T193	91H0*	Stupar et al. 2015 tab. 2/3 Text p. 95	25
2774	Seslerio autumnalis-Quercetum pubescentis ZUPANCIC 1999		natural forest	single stem cutting	T193	91H0*	Stupar et al. 2015 tab. 2/5 Text p. 97	35
2775	Carpinetum orientalis illyricum STEFANOVIC 1961	Orno-Carpinetum orientalis Fabijanic et al. 1963	natural forest	single stem cutting	S35721	91M0	Stupar et al. 2015 tab. 2/4 (CrC) Text p. 96	118
2776	Asparago tenuifolii-Quercetum pubescentis LAKUSIC et REDZIC 1991		natural forest	single stem cutting	T193	91H0*	Stupar et al. 2015 tab. 2/7 Text p. 100	23
2777	Rusco aculeati-Ostryetum carpinifoliae LAKUSIC et REDZIC 1991		natural forest	natural forest	T193751	91H0*	Lakušić et Redžić 1991, Tab. 6/12 (also Stupar et al. 2015 tab. 3/2 Text p. 103	19
2778	Fraxino orni-Quercetum cerridis STEFANOVIC 1968	Orno-Quercetum cerris STEFANOVIC 1968; Quercetum cerridis hercegovinicum Fukarek 1970; Carpino orientalis-Quercetum cerridis Lakušić 1976; Lathyro nigri-Quercetum cerridis Redžić et Barudanović 2010, Lithospermo-Qeurcetum cerridis Redžić 2011	natural forest	single stem cutting	T1941	91M0	Stefanović 1968 Tab. 1/6 (also Stupar et al. 2015 tab. 4/2 Text p. 105; Stajić et al. 2021)	95
2779	Aceri obtusati-Quercetum petraeae STUPA et al. 2015		natural forest	single stem cutting	T19B34	91G0	Stupar et al. 2015 tab. 5/2 Text p.108	30
2780	Cytiso hirsuti-Quercetum petraeae (STEFANOVIC 1964) PALLAS 2003	Quercetum montanum illyricum Stefanovic 1964	natural forest	single stem cutting	T19B34	91G0	Stupar et al. 2015 tab. 5/3 Text p.109	57
2781	Seslerio autumnalis-Quercetum petraeae POLDINI (1964) 1982		natural forest	single stem cutting	T19B34	91G0	Poldini 1982 Tab. 4 + p. 77 (also: Stupar et al. 2015 tab. 5/6 Text p.115)	43
2782	Rhamno lycioidis-Quercetum cocciferae BRAUN-BLANQUET et BOLÒS 1954		natural forest	single stem cutting	S51162	6310	Rodriguez Rojo et al. 2009 Tab. 1 p. 38 (also Perez Raya et al. 2002 p. 75	43
2784	Daphno oleoidis-Pinetum RIVAS-MARTINEZ 1965		natural forest	single stem cutting	S5145	9530	Rivas-Martinez 1965 p. 379 (also: Pérez Raya et al. 2002 p. 63)	12
2785	Berberido hispanicae-Quercetum rotundifoliae RIVAS-MARTÍNEZ 1987		natural forest	single stem cutting	S5115	9340	Gomez Mercado et Valle 1990 Tab. 2 p. 242 (also Perez Raya et al. 2002 p. 68)	13
2786	Paeonio-Quercetum rotundifoliae RIVAS-MARTÍNEZ 1964		natural forest	single stem cutting	S5115	9340	Rivas-Martinez 1964 p. 396 (also Gomez Mercado et Valle 1990 Tab. 1 p. 240; Martinez et al. 1999 p.107; Perez Raya et al. 2002 p. 66)	31
2787	Rhamno lycioidis-Juniperetum phoeniceae RIVAS-MARTÍNEZ et G.LÓPEZ 1976		natural shrubland	unusable	S51321	9560	Pérez Raya et al. 2002 p. 72	8
2788	Daphno latifoliae-Aceretum granatensis RIVAS-MARTÍNEZ 1965		natural shrubland	single stem cutting	T1443	9240	Rivas-Martinez 1965 p. 389 (also: Gomez Mercado et Valle 1990 Tab. 3 p. 242)	19
2789	Teucrio baetici-Quercetum suberis DIEZ-MARTINEZ, CUENZA et ASENSI 1986		natural shrubland	single stem cutting	S5111	9330	Quinto-Canas et al. 2010 Tab. IV/C	6
2790	Rusco hypophylli-Quercetum canariensis RIVAS-MARTÍNEZ 1975		natural shrubland	single stem cutting	S91271	9240	Vila-Viçosa et al. 2015 Tab. III/C	38
2791	Osyrio quadripartitae-Juniperetum turbinatae (RIVAS-MARTÍNEZ 1975) RIVAS-MARTÍNEZ et al. 1990		natural shrubland	unusable	S5132	9560	Costa et al. 2000 Tab. VII p. 87	16
2792	Querco cocciferae-Juniperetum turbinatae (RIVAS-MARTÍNEZ 1975) RIVAS-MARTÍNEZ et al. 1990		natural shrubland	unusable	S5132	9560	Costa et al. 2000 Tab.XI p. 91 (also: Bartolo et al. 1982 tab. 32)	27
2793	Phillyreo angustifoliae-Arbutetum unedonis RIVAS GODAY et GALIANO 1959		natural shrubland	unusable	S51B1	9340	Loidi et al. 1994 Tab.1/20-47 p. 536	28
2794	Pyro bourgaeanae-Quercetum rotundifoliae RIVAS-MARTÍNEZ 1987		natural shrubland	unusable	S5112	9340	Cano et Valle 1990 Tab.1	13
2795	Pistacio terebinthi-Quercetum broteroi RIVAS GODAY 1964		natural forest	single stem cutting	S5115	9240	Belmonte 2008 Tab. 1 p. 217+193 (also Cano et al. 2004 Tab. 2 p. 58)	22
2796	Aro italici-Oleetum sylvestris RIVAS-MARTÍNEZ et CANTÒ 2002	Tamo communis-Oleetum sylvestris Benabid ex Pérez Latorre, Galán de Mera, Deil & Cabezudo 1996	natural forest	single stem cutting	S5121	9320	Rivas-Martínez 1987 in Rivas-Martínez et al, 2002 p. 39 (also: Gianguzzi et Bazan 2019 Tab. 1/17.1a,b, p. 16+18)	4
2797	Genisto hystricis-Quercetum rotundifoliae P. SILVA 1970		natural shrubland	unusable	S5112	9340	Izco et al. 1985 Tab. 4 p. 98	20
2798	Luzulo cantabricae-Betuletum pubescentis Rivas-Martínez 1965	Luzulo henriquesii-Betuletum celtibericae RIVAS-MARTÍNEZ 1964	natural forest	single stem cutting	T14B11		Rivas-Martinez 1965 p. 382 (also: Izco et a. 1986 tab. 3 p. 200; Rivas-Martinez et al. 1984 Tab. 8 p. 88; Costa et al. 1990 Annex 1)	20
2799	Carici sylvaticae-Fagetum sylvaticae (RIVAS-MARTÍNEZ 1965) NAVARRO 1982	Melico-Fagetum cantabricum RIVAS-MARTÍNEZ 1965	natural forest	single stem cutting	T1723	9130	Rivas-Martinez 1965 p. 383 (also:  Rivas-Martinez et al. 1984 Tab. 5 p. 80; Rodriguez Guitan Tab. 4/C-Ffs)	139
2801	Hippophaeto-Salicetum arenariae TÜXEN 1937	included p.p. in Polypodio-Salicetum arenariae Boerboom 1960 nom. conserv. propos.	natural forest	unusable	N1A11	2160	Tüxen (1937) p. 124	11
2802	Alno-Salicetum cinerae PASSARGE 1956	included in Salicetum pentandro-cinereae Passarge 1961; Salicetum cinereae ZOLYOMI 1931; Myrico-Salicetum cinereae R.TX. et PASS. in PASS. 1961; angulo-Salicetum cinereae OBERD. 1964	natural woody shrubland	unusable	S9212	91D0*	Passarge et Hofmann (1968) Table 38/a-c (also Hübl 1959 Tab. p. 161 rel. 25; Mucina et al. 1993 Vol III, p. 28; Oberdorfer 1992 Vol. IV, Table 248/4 and Text Vol. IV p. 29; Schubert 2001 p. 115; Willner et Grabherr (2007) Teil 1 S. 59 et Table 3/1-3; Scha	476
2803	Pyrolo-Hippophaetum WEBER 1999		natural woody shrubland	unusable	N1918	2170	Weber 1999 Tab. 1/7 and p. 24 (also Oostra (2006) Table 2.1/8)	22
2804	Salicetum auritae JONAS 1935	Frangulo-Salicetum auritae Tx. 1937; Frangulo-Salicetum cinereae Malc. 1929	natural woody shrubland	unusable	S922	91D0*	Passarge et Hofmann (1968) Table 38 d-f (also Sauer 1955 Tab. 9; Dierßen 1973b Tab. 26 + p. 59; Willner et Grabherr (2007) Vol 1 S. 60 et Table 3/4; Mucina et al. (1993) Teil III, S. 30; ; Berg et al 2001 Table 29.2.1.1 and Text S. 431; Chytry et al. 2013	280
2805	Betuletum humilis STEFFEN 1931	Betulo humilis-Salicetum repentis angustifiliae Oberdorfer 1964	natural woody shrubland	unusable	S924	91D0*	Schlatte 1965 Tab. 1 (also Willner et Grabherr (2007) Vol 1 p. 61 et Table 3/5; Mucina et al. (1993) Teil III, S. 31	14
2806	Salici incanae-Hippophaetum BRAUN-BLANQUET in VOLK 1939		natural woody shrubland	unusable	S9112	2160	Willner et Grabherr (2007) Vol 1 p. 57 et Table 2/12 (also Soó 1964b p. 234; Oberdorfer (1992) Teil IV, Table 275/6 and Text Vol. S. 93; Mucina et al. (1993) Teil III, S. 47; Donita et al. 2005 p. 272)	134
2807	Salicetum incano-purpureae SILLINGER 1933	Salicetum eleagno-purpureae Sillinger 1933 nom. mutat. propos.	natural woody shrubland	unusable	S9112	91D0*	Willner et Grabherr (2007) Vol 1 p. 56 et Table 2/8-9 (also Mucina et al. (1993) Teil III, S. 49; Chytry et al. 2013 tab. 2/2 p. 51+55; Donita et al. 2005 p. 274; Fariselli et al. 2024 Tab. 47.5A-D)	163
2808	Salici-Myricarietum germanicae MOOR 1958	Myricarietum Jeník 1955	natural woody shrubland	unusable	S9111	91D0*	Oberdorfer (1992) Vol IV, Table 241/1 and Text Vol. p. 17 (also Soó 1964b p. 234; Willner et Grabherr 2007 S. 56 u.Table 2/10-11; Mucina et al. (1993) Teil III, S.46; Chytry et al. 2013 tab. 2/4 p. 51+60; Donita et al. 2005 p. 269; Fariselli et al. 2024 T	106
2809	Cotoneastro-Amelanchieretum TÜXEN 1952		natural woody shrubland	unusable	S35123	40A0	Oberdorfer (1992) Vol IV, Table 275/1 and Text Vol. p. 85 (also Soó 1964b p. 268; Mucina et al. (1993) Teil III, S. 63; Chytry et al. 2013 tab. 3/3 p. 81+94)	101
2810	Berberido-Rosetum BRAUN-BLANQUET 1961		natural woody shrubland	unusable	S35125	40A0	Oberdorfer (1992) Vol IV, Table 275/6 and Text Vol. p. 93 (also Willner et Grabherr (2007) Teil 1 S. 67 et Table 4/6; Mucina et al. (1993) Teil III, S. 64)	35
2811	Hippophae-Berberidetum MOOR 1958	Berberido-Hippophaëtum fluviatilis Moor 1958 nom. invers. propos.	natural woody shrubland	unusable	S35124	3240	Willner et Grabherr (2007) Vol 1 p. 70 et Table 4/9 (also Mucina et al. (1993) Teil III, S. 65; Westhoff 1969 p. 242 and Schaminée et al. 2010 p. 257)	57
2812	Roso glaucae-Coryletum OBERDORFER 1957	Roso vosagiacae-Coryletum Oberd. 1957	natural woody shrubland	unusable	S3713	40A0	Oberdorfer (1992) Vol IV, Table 275/4 and Text Vol. p. 89 (also Mucina et al. (1993) Teil III, S. 66; Chytry et al. 2013 tab. 3/5 p.81+99)	137
2813	Pruno spinosae-Ligustretum vulgaris TÜXEN 1952		natural woody shrubland	unusable	S351211	40A0	Oberdorfer (1992) Vol IV, Table 275/3 and Text Vol. p. 87 (also Lohmeyer 1953 p. 67; Diekjobst 1967a Tab. 1a p. 22; Marstaller 1969 Tab. 9 + p. 250; Willner et Grabherr (2007) Teil 1 S. 68 et Table 4/8; Mucina et al. (1993) Teil III, S. 68; Pujol et al. 2	414
2814	Euonymo-Ulmetum carpinifoliae PASSARGE 1957	Ulmus minor-Ass.; Roso-Ulmetum campestris SCHUBERT et MAHN 1959	natural woody shrubland	unusable	T1E514	40A0	Passarge et Hofmann (1968) Table 40 k (also Willner et Grabherr (2007) Vol 1 p. 70 et Table 4/11; Mucina et al. (1993) Teil III, S. 69; auch Oberdorfer (1992) Teil IV, Table 283 and Text Vol. S. 97; Schubert 2001 p. 128)	90
2815	Prunetum fructicosae DZIUBALTOWSKI 1926	Crataego-Prunetum fruticosae SOO 1951, Peucedano-Prunetum fruticosae KOZLOWSKA 1928	natural woody shrubland	unusable	S35711	40A0	Oberdorfer (1992) Vol IV Table 275/9 and Text Vol. p. 98 (also Soó 1964b p. 284; Willner et Grabherr (2007) Teil 1 S. 64 et Table 4/2; Mucina et al. (1993) Teil III, S. 73; Chytry et al. 2013 tab. 3/1 p. 88+81; Schubert 2001 p. 141; Donita et al. 2005 p. 	85
2816	Prunetum tenellae SOÓ 1951		natural woody shrubland	unusable	S357122	40A0	Willner et Grabherr (2007) Vol 1 p. 64 et Table 4/1 (also Mucina et al. (1993) Teil III, S. 74; Chytry et al. 2013 tab. 3/2 p. 81+84; Donita et al. 2005 p. 109; Schneider-Binder 2015 tab.2 p. 38)	48
2817	Waldsteinio geoidis-Spiraeetum mediae MUCINA et al. 1993	Spiraeetum mediae Zólyomi (1934) 1936	natural woody shrubland	unusable	S357124	40A0	Willner et Grabherr (2007) Vol 1 p. 65 et Table 4/4 (also Mucina et al. (1993) Teil III, S. 76; Soó 1964b p. 276)	13
2818	Salicetum triandro-viminalis (TÜXEN 1931) LOHMEYER 1952	Salicetum triandrae Malcuit ex Noirfalise in Lebrun et al. 1955	natural woody shrubland	unusable	S9121	91D0*	Passarge et Hofmann (1968) Table 39 c-d (also Soó 1964b p. 236; Jelem 1975 Annex-Tab. rel. 8-17; Berg et al 2001 Table 27.1.1.1 and Text p. 413; Chytry et al. 2013 tab. 2/1 p. 48+51; Niemeyer et al. 2010 tab. 1/1 p. 20; Donita et al. 2005 p. 271)	118
2819	Euonymo-Coryletum avellanae PASSARGE et HOFMANN 1968		natural woody shrubland	unusable	S371	40A0	Passarge et Hofmann (1968) Table 40 a-b	13
2820	Euonymo-Cornetum sangiunei PASSARGE 1957		natural woody shrubland	unusable	S351		Passarge et Hofmann (1968) Table 40 c-e (also: Chytry et al. 2013 tab. 3/7 p. 81+106	32
2821	Rhamno catharticae-Betuletum pubescens KLOSS 1962	Rhamnus cathartica-Betula carpatica-Ass.	natural woody shrubland	unusable	T1C111	91D0*	Succow et Joosten (2001) Table 4-14/26 (also Böcker 1978 Tab. 17; Berg et al 2001 Table29.1.2.1 and Text p. 429)	213
